Hospital,Especialidade,Nota_Prova,Nota_Curriculo,Total
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,60,9.2,69.2
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,58.8,10,68.8
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,58.8,10,68.8
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,60,8.3,68.3
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,60,8,68
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,62.4,5.5,67.9
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,63.6,4.1,67.7
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,58.8,8.9,67.7
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,60,7.3,67.3
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,57.6,9.6,67.2
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,60,6.8,66.8
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,61.2,5.1,66.3
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,57.6,8.4,66
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,56.4,9.6,66
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,56.4,9.3,65.7
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,56.4,9.2,65.6
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,57.6,7.8,65.4
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,55.2,10,65.2
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,57.6,7.5,65.1
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,57.6,7,64.6
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,60,4.5,64.5
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,56.4,8.1,64.5
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,58.8,5.5,64.3
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,56.4,7.9,64.3
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,55.2,9.1,64.3
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,57.6,6.1,63.7
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,55.2,8,63.2
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,57.6,5.55,63.15
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,57.6,5.5,63.1
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,56.4,6.4,62.8
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,54,8.5,62.5
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,54,8.3,62.3
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,56.4,5.9,62.3
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,52.8,9,61.8
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,55.2,6.3,61.5
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,52.8,8.1,60.9
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,51.6,8.7,60.3
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,51.6,8.6,60.2
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,51.6,8.4,60
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,56.4,3.05,59.45
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,54,5.3,59.3
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,51.6,7.3,58.9
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,51.6,6.7,58.3
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,51.6,6.6,58.2
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,54,4.05,58.05
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,51.6,6.4,58
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,54,3.7,57.7
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,51.6,5.8,57.4
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,50.4,7,57.4
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,51.6,5.2,56.8
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,49.2,7.2,56.4
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,51.6,4.7,56.3
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,46.8,9.4,56.2
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,46.8,8.5,55.3
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,49.2,5.6,54.8
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,48,6.7,54.7
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,48,6.3,54.3
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,50.4,3.85,54.25
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,48,6.2,54.2
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,50.4,3.5,53.9
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,46.8,6.3,53.1
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,51.6,1,52.6
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,48,3.7,51.7
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,48,3.6,51.6
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,48,3.5,51.5
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,48,3.15,51.15
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,45.6,5.25,50.85
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,46.8,3,49.8
Faculd. Medicina da Univers. Federal de Uberlândia,dermatologia,45.6,0.6,46.2
Faculd. Medicina da Univers. Federal de Uberlândia,ecocardiografia,66,6.5,72.5
Faculd. Medicina da Univers. Federal de Uberlândia,endocrinologia e metabologia,63,6.5,69.5
Faculd. Medicina da Univers. Federal de Uberlândia,endocrinologia e metabologia,60,7,67
Faculd. Medicina da Univers. Federal de Uberlândia,endocrinologia e metabologia,60,6,66
Faculd. Medicina da Univers. Federal de Uberlândia,endocrinologia e metabologia,60,4.15,64.15
Faculd. Medicina da Univers. Federal de Uberlândia,endocrinologia e metabologia,54,10,64
Faculd. Medicina da Univers. Federal de Uberlândia,endocrinologia e metabologia,60,3,63
Faculd. Medicina da Univers. Federal de Uberlândia,endocrinologia e metabologia,51,8,59
Faculd. Medicina da Univers. Federal de Uberlândia,endocrinologia e metabologia,51,7,58
Faculd. Medicina da Univers. Federal de Uberlândia,endocrinologia e metabologia,48,8,56
Faculd. Medicina da Univers. Federal de Uberlândia,endocrinologia e metabologia,51,4.5,55.5
Faculd. Medicina da Univers. Federal de Uberlândia,endocrinologia e metabologia,48,5,53
Faculd. Medicina da Univers. Federal de Uberlândia,endocrinologia e metabologia,45,6,51
Faculd. Medicina da Univers. Federal de Uberlândia,endocrinologia e metabologia,45,3,48
Faculd. Medicina da Univers. Federal de Uberlândia,endocrinologia pediátrica,75,5.5,80.5
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,69,9.5,78.5
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,66,8.5,74.5
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,63,7.5,70.5
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,63,6.5,69.5
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,63,5,68
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,63,5,68
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,57,8,65
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,54,7,61
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,54,6.5,60.5
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,54,5,59
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,54,5,59
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,54,3.5,57.5
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,48,9.5,57.5
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,48,9,57
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,51,5,56
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,54,1.15,55.15
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,45,10,55
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,48,7,55
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,51,3,54
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,48,5,53
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,45,7,52
Faculd. Medicina da Univers. Federal de Uberlândia,gastroenterologia,45,4,49
Faculd. Medicina da Univers. Federal de Uberlândia,geriatria,72,5.5,77.5
Faculd. Medicina da Univers. Federal de Uberlândia,geriatria,63,8,71
Faculd. Medicina da Univers. Federal de Uberlândia,geriatria,57,1.15,58.15
Faculd. Medicina da Univers. Federal de Uberlândia,geriatria,51,6.5,57.5
Faculd. Medicina da Univers. Federal de Uberlândia,geriatria,51,5.5,56.5
Faculd. Medicina da Univers. Federal de Uberlândia,geriatria,48,7.5,55.5
Faculd. Medicina da Univers. Federal de Uberlândia,geriatria,45,8,53
Faculd. Medicina da Univers. Federal de Uberlândia,geriatria,45,7.5,52.5
Faculd. Medicina da Univers. Federal de Uberlândia,geriatria,45,7,52
Faculd. Medicina da Univers. Federal de Uberlândia,geriatria,45,6.5,51.5
Faculd. Medicina da Univers. Federal de Uberlândia,geriatria,45,4,49
Faculd. Medicina da Univers. Federal de Uberlândia,geriatria,45,4,49
Faculd. Medicina da Univers. Federal de Uberlândia,geriatria,45,4,49
Faculd. Medicina da Univers. Federal de Uberlândia,infectologia,69.6,8.3,77.9
Faculd. Medicina da Univers. Federal de Uberlândia,infectologia,69.6,4.25,73.85
Faculd. Medicina da Univers. Federal de Uberlândia,infectologia,60,5.3,65.3
Faculd. Medicina da Univers. Federal de Uberlândia,infectologia,54,10,64
Faculd. Medicina da Univers. Federal de Uberlândia,infectologia,54,4.15,58.15
Faculd. Medicina da Univers. Federal de Uberlândia,infectologia,52.8,3.3,56.1
Faculd. Medicina da Univers. Federal de Uberlândia,infectologia,46.8,5.3,52.1
Faculd. Medicina da Univers. Federal de Uberlândia,infectologia,46.8,4.6,51.4
Faculd. Medicina da Univers. Federal de Uberlândia,infectologia,45.6,3.1,48.7
Faculd. Medicina da Univers. Federal de Uberlândia,medicina de família e comunidade,60,9.3,69.3
Faculd. Medicina da Univers. Federal de Uberlândia,medicina de família e comunidade,61.2,3.8,65
Faculd. Medicina da Univers. Federal de Uberlândia,medicina de família e comunidade,56.4,7.3,63.7
Faculd. Medicina da Univers. Federal de Uberlândia,medicina de família e comunidade,55.2,4.35,59.55
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva,58.8,10,68.8
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva,60,8.5,68.5
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva,61.2,7.1,68.3
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva,61.2,6.55,67.75
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva,60,5.1,65.1
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva,52.8,5.8,58.6
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva,51.6,6.6,58.2
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva,52.8,5.2,58
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva,50.4,4.6,55
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva,49.2,5.75,54.95
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva,49.2,5.6,54.8
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva,46.8,5.9,52.7
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva,46.8,4.8,51.6
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva,45.6,4.15,49.75
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva,45.6,4,49.6
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva,45.6,2.1,47.7
Faculd. Medicina da Univers. Federal de Uberlândia,medicina intensiva pediatrica,66,8.5,74.5
Faculd. Medicina da Univers. Federal de Uberlândia,nefrologia,63,8,71
Faculd. Medicina da Univers. Federal de Uberlândia,nefrologia,51,10,61
Faculd. Medicina da Univers. Federal de Uberlândia,neonatologia,72,10,82
Faculd. Medicina da Univers. Federal de Uberlândia,neonatologia,60,5,65
Faculd. Medicina da Univers. Federal de Uberlândia,neonatologia,54,6,60
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,68.4,9.1,77.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,68.4,8.1,76.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,68.4,7.2,75.6
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,67.2,7.9,75.1
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,64.8,10,74.8
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,68.4,5.9,74.3
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,66,7.8,73.8
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,66,7.7,73.7
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,64.8,8.3,73.1
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,66,6.9,72.9
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,67.2,4,71.2
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,64.8,6,70.8
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,64.8,5.55,70.35
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,62.4,7.8,70.2
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,66,3.5,69.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,61.2,7.6,68.8
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,57.6,10,67.6
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,58.8,8.7,67.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,62.4,4.1,66.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,56.4,10,66.4
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,56.4,10,66.4
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,60,5.7,65.7
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,56.4,9.2,65.6
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,58.8,4.7,63.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,58.8,4,62.8
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,52.8,9.9,62.7
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,58.8,3.35,62.15
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,54,7.9,61.9
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,56.4,4.8,61.2
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,56.4,4.75,61.15
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,54,7.1,61.1
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,52.8,8.2,61
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,54,7,61
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,51.6,9,60.6
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,56.4,4.1,60.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,52.8,7.5,60.3
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,50.4,9.85,60.25
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,51.6,8.2,59.8
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,56.4,3.3,59.7
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,51.6,7.4,59
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,51.6,7,58.6
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,48,10,58
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,51.6,6.1,57.7
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,50.4,6.9,57.3
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,52.8,4.3,57.1
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,50.4,6.3,56.7
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,52.8,3.6,56.4
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,48,8.4,56.4
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,50.4,4.3,54.7
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,49.2,5.5,54.7
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,46.8,7,53.8
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,50.4,3.3,53.7
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,48,5.3,53.3
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,48,3.05,51.05
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,46.8,3.8,50.6
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,48,1.75,49.75
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,46.8,2.4,49.2
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,45.6,2.4,48
Faculd. Medicina da Univers. Federal de Uberlândia,neurocirurgia,45.6,2.2,47.8
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,66,9.1,75.1
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,63.6,10,73.6
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,66,7.4,73.4
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,61.2,10,71.2
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,64.8,6,70.8
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,60,10,70
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,63.6,6.1,69.7
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,60,8.8,68.8
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,58.8,9.7,68.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,60,8.5,68.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,60,7.5,67.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,58.8,8.5,67.3
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,58.8,8.1,66.9
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,63.6,3.25,66.85
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,63.6,2.2,65.8
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,60,5.75,65.75
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,56.4,9,65.4
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,60,5.4,65.4
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,57.6,7.8,65.4
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,60,5.3,65.3
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,58.8,6.15,64.95
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,57.6,6.45,64.05
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,50.4,7.3,63.47
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,57.6,5.8,63.4
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,55.2,7.7,62.9
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,58.8,3,61.8
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,54,7.7,61.7
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,54,6.5,60.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,50.4,9,59.4
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,54,4.9,58.9
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,52.8,5.95,58.75
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,51.6,6.9,58.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,52.8,5.5,58.3
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,51.6,6.55,58.15
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,50.4,7.5,57.9
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,56.4,1.25,57.65
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,51.6,5.5,57.1
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,48,8.6,56.6
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,51.6,4.6,56.2
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,49.2,6.3,55.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,49.2,6.1,55.3
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,50.4,4.6,55
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,45.6,9.2,54.8
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,50.4,4.2,54.6
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,45.6,8.5,54.1
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,49.2,4.2,53.4
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,50.4,2.8,53.2
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,48,4.2,52.2
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,46.8,4.85,51.65
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,48,3.3,51.3
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,46.8,4.4,51.2
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,48,2.2,50.2
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,45.6,4.1,49.7
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia,45.6,3.85,49.45
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia pediatrica,81,10,91
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia pediatrica,78,8.5,86.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia pediatrica,75,10,85
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia pediatrica,72,10,82
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia pediatrica,72,8.5,80.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia pediatrica,66,5,71
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia pediatrica,63,6.5,69.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia pediatrica,60,3.5,63.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia pediatrica,60,3.5,63.5
Faculd. Medicina da Univers. Federal de Uberlândia,neurologia pediatrica,57,3,60
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,70.8,10,80.8
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,68.4,9.7,78.1
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,64.8,9.9,74.7
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,66,7.9,73.9
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,69.6,3.5,73.1
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,69.6,2.2,71.8
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,64.8,6.9,71.7
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,63.6,8.1,71.7
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,61.2,10,71.2
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,62.4,8.7,71.1
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,62.4,7.9,70.3
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,60,9.4,69.4
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,68.4,0.6,69
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,62.4,6.45,68.85
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,61.2,7.65,68.85
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,62.4,6.1,68.5
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,63.6,4.6,68.2
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,62.4,5.6,68
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,64.8,3,67.8
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,61.2,6.55,67.75
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,63.6,4.1,67.7
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,57.6,10,67.6
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,61.2,6.05,67.25
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,62.4,4.8,67.2
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,60,6.75,66.75
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,60,6.55,66.55
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,58.8,7.6,66.4
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,58.8,7.3,66.1
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,58.8,6.8,65.6
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,55.2,10,65.2
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,56.4,8.6,65
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,58.8,6.1,64.9
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,57.6,7.2,64.8
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,56.4,8.35,64.75
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,58.8,5.9,64.7
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,56.4,8.3,64.7
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,58.8,5.6,64.4
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,55.2,9.1,64.3
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,60,3.9,63.9
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,58.8,5.1,63.9
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,58.8,5,63.8
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,61.2,2.3,63.5
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,57.6,5.8,63.4
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,55.2,7.5,62.7
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,52.8,9.7,62.5
Faculd. Medicina da Univers. Federal de Uberlândia,obstetrícia e ginecologia,54,8.5,62.5
